title,artist,album,duration,year,monthlylisteners,popularcity,cityfollowers,playlist,playlistby
Building a Ladder,Hiatus Kaiyote,Choose Your Weapon,5:42,2015,586426,"London, GB",19635,Building a Ladder – Hiatus Kaiyote,ännas
You Keep Me Waiting,Snoh Aalegra,FEELS,4:27,2017,1224068,"Los Angeles, US",44864,Building a Ladder – Hiatus Kaiyote,ännas
Red Clay,Charlotte Dos Santos,Red Clay,2:20,2017,143505,"London, GB",7590,Building a Ladder – Hiatus Kaiyote,ännas
Dirty Hercules (feat Nai Palm),Ngaiire,Lamentations,4:00,2013,61972,"Melbourne, AU",3257,Building a Ladder – Hiatus Kaiyote,ännas
Molasses,Hiatus Kaiyote,Choose Your Weapon,4:49,2015,586426,"London, GB",19635,Building a Ladder – Hiatus Kaiyote,ännas
Shaolin Monk Motherfunk,Hiatus Kaiyote,Choose Your Weapon,5:50,2015,586426,"London, GB",19635,Building a Ladder – Hiatus Kaiyote,ännas
The World It Softly Lulls,Hiatus Kaiyote,Tawk Tomahawk,2:55,2013,586426,"London, GB",19635,Building a Ladder – Hiatus Kaiyote,ännas
Lace Skull,Hiatus Kaiyote,Tawk Tomahawk,4:00,2013,586426,"London, GB",19635,Building a Ladder – Hiatus Kaiyote,ännas
The Strut,30/70,Cold Radish Coma,2:49,2015,35650,"London, GB",2112,Building a Ladder – Hiatus Kaiyote,ännas
Breaking - For This World to Change,30/70,Elevate,4:51,2017,35650,"London, GB",2112,Building a Ladder – Hiatus Kaiyote,ännas
Das Dank,30/70,Cold Radish Coma,3:52,2015,35650,"London, GB",2112,Building a Ladder – Hiatus Kaiyote,ännas
Steady Hazin',30/70,Elevate,4:58,2017,35650,"London, GB",2112,Building a Ladder – Hiatus Kaiyote,ännas
I Adore,Laura Misch,I Adore,4:33,2018,303769,"London, GB",18513,Building a Ladder – Hiatus Kaiyote,ännas
Flowers,Sampa the Great,Birds And The BEE9,3:26,2017,304246,"London, GB",11575,Building a Ladder – Hiatus Kaiyote,ännas
Harness,Laura Misch,Playground,4:00,2017,303769,"London, GB",18513,Building a Ladder – Hiatus Kaiyote,ännas
Free (feat. Te-Diggs & Aisha Daniel),Joomanji,Manj,3:16,2013,220417,"London, GB",9520,Building a Ladder – Hiatus Kaiyote,ännas
F E M A L E,Sampa the Great,The Great Mixtape,1:57,2015,304246,"London, GB",11575,Building a Ladder – Hiatus Kaiyote,ännas
Mr. Angel,Tommy Newport,Just To Be Ironic,4:00,2018,49869,"Los Angeles, US",1651,Lalo Vega & Røzco,Lalo Vega
Where Will We Go,IAMDYNAMITE,Supermegafantastic,3:03,2012,37991,"Chicago, US",1119,Lalo Vega & Røzco,Lalo Vega
Like An Animal,Alfie Templeman,Like an Animal,3:50,2018,302010,"London, GB",18009,Lalo Vega & Røzco,Lalo Vega
